id,user_id,razon_social,mes_pago,total_pago
1,1,CREASYS SERVICIOSPROFESIONALES LIMITADA,202401,27062
2,1,CREASYS SERVICIOSPROFESIONALES LIMITADA,202402,26666
3,1,CREASYS SERVICIOSPROFESIONALES LIMITADA,202403,27996
4,1,CREASYS SERVICIOSPROFESIONALES LIMITADA,202404,26666
